time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-10-29 09:30:00-04:00,SentimentTrader,6ff563d3916245b3b82539f6d29c388d,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-10-29 09:30:00-04:00,SentimentTrader,48b197883e6d44599145e472f0117c5f,MSFT,buy,market,fill,1,gtc,0.0,1,stock,204.07000732421875,125.0,0.0
2020-10-30 09:30:00-04:00,SentimentTrader,6ff563d3916245b3b82539f6d29c388d,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,201.13920059204102,125.0,0.0
2020-11-02 09:30:00-05:00,SentimentTrader,29c10724a1604d9d93bde37d5f5d8b95,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-11-02 09:30:00-05:00,SentimentTrader,c90883caa7de4be5b7160b723644210f,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-11-02 09:30:00-05:00,SentimentTrader,29c10724a1604d9d93bde37d5f5d8b95,MSFT,buy,market,fill,1,gtc,0.0,1,stock,204.2899932861328,124.0,0.0
2020-11-09 09:30:00-05:00,SentimentTrader,c90883caa7de4be5b7160b723644210f,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,221.27639526367187,124.0,0.0
2020-11-18 09:30:00-05:00,SentimentTrader,35b387aec41d43c8b70d919b74225776,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-11-18 09:30:00-05:00,SentimentTrader,4d1206bfc2ce4539844d4aca54c76f40,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-11-18 09:30:00-05:00,SentimentTrader,35b387aec41d43c8b70d919b74225776,MSFT,buy,market,fill,1,gtc,0.0,1,stock,213.64999389648438,121.0,0.0
2020-11-23 08:30:00-05:00,SentimentTrader,4d1206bfc2ce4539844d4aca54c76f40,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,208.71489822387696,121.0,0.0
2020-11-23 09:30:00-05:00,SentimentTrader,0463833db8794636bc31cacb770aaecd,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-11-23 09:30:00-05:00,SentimentTrader,d28007aab3024fa995910ecea0466027,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-11-23 09:30:00-05:00,SentimentTrader,0463833db8794636bc31cacb770aaecd,MSFT,buy,market,fill,1,gtc,0.0,1,stock,210.9499969482422,122.0,0.0
2020-12-10 09:30:00-05:00,SentimentTrader,d28007aab3024fa995910ecea0466027,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,210.8004071044922,122.0,0.0
2020-12-11 09:30:00-05:00,SentimentTrader,ee2da9c0f2d1406f9f2e3d29a885bd0b,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-12-11 09:30:00-05:00,SentimentTrader,dbf82cd7d56f4a1ca87fc6e7eeb83c36,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-12-11 09:30:00-05:00,SentimentTrader,ee2da9c0f2d1406f9f2e3d29a885bd0b,MSFT,buy,market,fill,1,gtc,0.0,1,stock,210.0500030517578,123.0,0.0
2020-12-21 09:30:00-05:00,SentimentTrader,dbf82cd7d56f4a1ca87fc6e7eeb83c36,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,217.28,123.0,0.0
2020-12-22 09:30:00-05:00,SentimentTrader,90a5c8448c584875aa30e9f04c3237fa,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-12-22 09:30:00-05:00,SentimentTrader,2e27c0451cf9485daf10f90fec918e47,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-12-22 09:30:00-05:00,SentimentTrader,90a5c8448c584875aa30e9f04c3237fa,MSFT,buy,market,fill,1,gtc,0.0,1,stock,222.69000244140625,117.0,0.0
2020-12-31 09:30:00-05:00,SentimentTrader,2e27c0451cf9485daf10f90fec918e47,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,220.3645928955078,117.0,0.0
2021-01-27 09:30:00-05:00,SentimentTrader,de5b3833eaff4cd5b3c9a7d9f6f57b0d,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-27 09:30:00-05:00,SentimentTrader,d61c032ed78c468da47f2d342d3c0934,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2021-01-27 09:30:00-05:00,SentimentTrader,de5b3833eaff4cd5b3c9a7d9f6f57b0d,MSFT,buy,market,fill,1,gtc,0.0,1,stock,238.0,109.0,0.0
